Step Energy
0 -3.001805
1000 -2.985338
2000 -2.985338
3000 -2.982463
4000 -2.994311
5000 -2.994103
6000 -2.982839
7000 -2.995512
8000 -2.993624
9000 -2.989631
10000 -2.989609
11000 -2.981095
12000 -2.977719
13000 -2.982115
14000 -2.973105
15000 -2.962940
16000 -2.952203
17000 -2.955791
18000 -2.948104
19000 -2.936985
20000 -2.925786
21000 -2.913419
22000 -2.903024
23000 -2.884216
24000 -2.901780
25000 -2.908886
26000 -2.909430
27000 -2.901694
28000 -2.916256
29000 -2.906399
30000 -2.907555
31000 -2.930938
32000 -2.957157
33000 -2.968844
34000 -2.954589
35000 -2.969611
36000 -2.985078
37000 -2.971303
38000 -2.971308
39000 -2.967148
40000 -2.967146
41000 -2.977507
42000 -2.977508
43000 -2.967311
44000 -2.977740
45000 -2.977736
46000 -2.981223
47000 -2.981221
48000 -2.970696
49000 -2.970697
50000 -2.970697
51000 -2.970699
52000 -2.981792
53000 -2.981826
54000 -2.981829
55000 -2.981828
56000 -2.971705
57000 -2.971708
58000 -2.983197
59000 -2.972679
60000 -2.972681
